Date,Open,High,Low,Close,Volume
2025-10-02,644.5,651.5,637.0,643.5,1385617
2025-10-03,645.0,649.0,641.72900390625,643.0,1586500
2025-10-06,642.0,649.5,639.0,647.0,571859
2025-10-07,646.5,654.5,644.5,648.5,1241397
2025-10-08,649.5,657.0,648.0,654.5,770117
2025-10-09,656.5,662.5,651.5,655.0,965962
2025-10-10,669.0,669.0,649.0,655.5,850676
2025-10-13,653.5,665.5,653.5,659.0,684473
2025-10-14,656.0,668.0,653.5,668.0,1114094
2025-10-15,670.5,674.5,662.0,662.0,576882
2025-10-16,662.5,671.5,650.1649780273438,662.5,746403
2025-10-17,656.0,665.0,650.0,657.0,1538463
2025-10-20,657.5,664.5,654.0,659.5,936096
2025-10-21,661.0,662.5,651.5,654.5,753275
2025-10-22,657.0,669.5,655.5,660.0,718578
2025-10-23,661.0,665.5,658.0,664.5,1119300
2025-10-24,669.5,676.5,661.5,676.5,613462
2025-10-27,677.0,681.0,671.5,677.5,639041
2025-10-28,680.5,680.5,670.5,674.0,868648
2025-10-29,674.5,677.5,670.468994140625,675.5,665607
2025-10-30,668.5,674.5,664.5449829101562,670.5,2854485
2025-10-31,677.0,677.0,665.0999755859375,672.0,818783
2025-11-03,677.0,677.0,665.5,674.0,732134
2025-11-04,669.0,678.5,665.5,673.5,774640
2025-11-05,686.0,686.0,669.0,675.0,1041755
2025-11-06,675.0,680.0,668.0,671.5,557800
2025-11-07,673.0,677.5,660.0,661.0,2197246
2025-11-10,667.5,672.0,662.0,668.5,730913
2025-11-11,667.5,672.0,652.5,654.0,1214601
2025-11-12,656.5,665.0,653.5,665.0,1095965
2025-11-13,669.0,669.5,660.0,662.5,793523
2025-11-14,661.0,661.0,646.0,659.0,1466462
2025-11-17,665.0,665.0,657.875,664.0,1021396
2025-11-18,654.0,660.5,651.5,659.0,1544279
2025-11-19,662.5,664.0,654.5,656.5,532688
2025-11-20,665.0,665.5,652.5,652.5,1139978
2025-11-21,641.5,654.0,636.5,644.5,2099145
2025-11-24,648.5,661.5,646.5,657.5,2853356
2025-11-25,659.0,672.5,654.0,672.5,1613192
2025-11-26,677.0,687.5,672.5,685.5,1512400
2025-11-27,688.0,700.0560302734375,687.0,700.0,1085547
2025-11-28,707.0,707.0,695.3309936523438,704.0,527082
