Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2018-01-02,70.05999755859375,101.66000366210938,68.06999969482422,70.76000213623047,101.83000183105469,69.83000183105469,69.69999694824219,101.06999969482422,67.5999984741211,70.73999786376953,101.75,69.5199966430664,3086500,1222300,8678200
2018-01-03,70.72000122070312,101.44999694824219,69.97000122070312,71.45999908447266,102.80000305175781,71.63999938964844,70.22000122070312,101.41000366210938,69.12999725341797,71.38999938964844,102.43000030517578,71.33000183105469,3308800,1351700,9529200
2018-01-04,71.5,102.4000015258789,71.76000213623047,71.80999755859375,102.72000122070312,73.19000244140625,71.20999908447266,101.81999969482422,71.26000213623047,71.48999786376953,102.1500015258789,73.0999984741211,2806400,1110600,12252300
2018-01-05,71.76000213623047,102.19999694824219,72.94999694824219,72.47000122070312,102.3499984741211,73.68000030517578,71.19999694824219,101.63999938964844,72.25,72.43000030517578,102.16000366210938,73.5999984741211,3118800,1752500,8552700
2018-01-08,72.43000030517578,102.5,73.3499984741211,72.43000030517578,102.5,74.91999816894531,71.68000030517578,101.45999908447266,72.70999908447266,72.19999694824219,102.05999755859375,74.80000305175781,2334700,1236500,9778900
2018-01-09,72.41999816894531,101.9000015258789,74.77999877929688,72.58999633789062,102.25,75.30000305175781,71.88999938964844,101.37000274658203,74.55999755859375,72.31999969482422,101.72000122070312,74.9000015258789,3367600,1537000,9370300
2018-01-10,71.73999786376953,101.91999816894531,75.12000274658203,72.69999694824219,102.41000366210938,76.06999969482422,71.69999694824219,101.30000305175781,75.0,72.58999633789062,102.08000183105469,75.5999984741211,2411300,977500,10017600
2018-01-11,72.87999725341797,102.62000274658203,75.66999816894531,73.9000015258789,102.62000274658203,77.22000122070312,72.45999908447266,101.51000213623047,75.41999816894531,73.87999725341797,102.37000274658203,77.05000305175781,2917300,1358600,10248700
2018-01-12,74.0,102.54000091552734,77.37000274658203,74.44999694824219,105.08999633789062,78.08999633789062,73.8499984741211,102.5,77.05000305175781,73.91000366210938,104.97000122070312,77.97000122070312,3500400,1849300,9211500
2018-01-16,73.38999938964844,104.54000091552734,77.75,73.87999725341797,104.88999938964844,78.0,72.11000061035156,103.16999816894531,76.94999694824219,72.83000183105469,103.5,77.16999816894531,3899900,2601200,11902500
2018-01-17,73.05000305175781,103.94999694824219,77.0,73.77999877929688,106.91000366210938,77.79000091552734,72.88999938964844,103.83000183105469,76.41000366210938,73.06999969482422,106.16000366210938,77.20999908447266,3276100,2333400,8009600
2018-01-18,73.4800033569336,106.43000030517578,76.56999969482422,73.94999694824219,106.43000030517578,77.47000122070312,73.0,104.55000305175781,75.69000244140625,73.44999694824219,105.29000091552734,76.37000274658203,2356200,1514000,10588500
2018-01-19,73.62999725341797,105.52999877929688,75.0,73.80000305175781,105.6500015258789,77.18000030517578,72.87999725341797,104.81999969482422,74.25,73.13999938964844,105.62999725341797,76.41999816894531,3538100,1657500,13389800
2018-01-22,72.94000244140625,105.58999633789062,77.04000091552734,73.27999877929688,106.81999969482422,79.87999725341797,72.3499984741211,105.38999938964844,76.83999633789062,73.26000213623047,106.66000366210938,79.79000091552734,3521500,1348000,13192700
2018-01-23,73.33999633789062,106.9000015258789,79.81999969482422,73.8499984741211,107.33999633789062,80.3499984741211,73.01000213623047,106.55999755859375,78.58000183105469,73.12000274658203,106.9000015258789,79.20999908447266,3205600,1436500,9332600
2018-01-24,73.54000091552734,107.22000122070312,78.95999908447266,73.69999694824219,107.47000122070312,79.25,72.16000366210938,103.80000305175781,77.66999816894531,72.62999725341797,104.62999725341797,78.18000030517578,3284300,1945300,10369000
2018-01-25,73.08000183105469,105.01000213623047,78.9800033569336,73.19999694824219,105.33000183105469,79.08999633789062,71.79000091552734,103.97000122070312,77.2300033569336,72.68000030517578,104.16999816894531,77.33000183105469,3293700,1864000,7142000
2018-01-26,72.9000015258789,104.62000274658203,77.69000244140625,74.05000305175781,106.91999816894531,78.18000030517578,72.68000030517578,104.5199966430664,77.38999938964844,74.05000305175781,106.58999633789062,77.61000061035156,3587500,2645100,6055300
2018-01-29,73.66999816894531,106.12000274658203,77.08999633789062,73.87000274658203,106.44000244140625,77.41000366210938,72.91000366210938,103.94999694824219,76.0999984741211,72.98999786376953,104.25,76.37999725341797,2136400,2563500,7877900
2018-01-30,72.43000030517578,103.05000305175781,75.4000015258789,72.91000366210938,103.69000244140625,75.79000091552734,72.08999633789062,101.88999938964844,73.93000030517578,72.47000122070312,102.27999877929688,74.54000091552734,2311600,2049800,11371000
2018-01-31,72.94999694824219,102.5999984741211,74.88999938964844,73.25,102.94999694824219,74.94999694824219,72.02999877929688,101.63999938964844,73.11000061035156,72.2300033569336,102.4000015258789,73.58000183105469,5458100,3388700,10198700
2018-02-01,71.43000030517578,102.33000183105469,73.79000091552734,73.0999984741211,102.98999786376953,75.55999755859375,69.7300033569336,99.66999816894531,73.79000091552734,72.58000183105469,100.86000061035156,75.51000213623047,3022200,3243600,8671600
2018-02-02,71.86000061035156,101.0999984741211,74.87999725341797,72.33999633789062,101.0999984741211,75.25,70.51000213623047,96.08000183105469,73.36000061035156,70.56999969482422,97.01000213623047,73.69000244140625,4853000,4492300,9066600
2018-02-05,70.0199966430664,95.81999969482422,72.8499984741211,71.41999816894531,99.56999969482422,74.37999725341797,68.22000122070312,93.55000305175781,70.58999633789062,68.44000244140625,95.20999908447266,71.3499984741211,4426300,4252500,11310300
2018-02-06,66.69999694824219,92.87999725341797,69.51000213623047,71.37999725341797,97.0,72.55999755859375,66.0,92.69999694824219,69.0,69.25,96.87999725341797,71.04000091552734,7320400,2894200,12391900
2018-02-07,69.41000366210938,96.81999969482422,71.1500015258789,70.5199966430664,98.08999633789062,72.52999877929688,68.7300033569336,95.58999633789062,69.62000274658203,68.95999908447266,95.61000061035156,69.75,4045300,2199700,7345000
