Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2025-12-22,251.67999267578125,168.82000732421875,254.8699951171875,170.6699981689453,247.42999267578125,163.69000244140625,247.89999389648438,164.32000732421875,6233100,19234500
2025-12-23,243.25,162.25,245.1999969482422,162.72999572753906,238.8000030517578,156.5,242.3000030517578,157.8800048828125,7004200,15891200
2025-12-24,240.27999877929688,157.1999969482422,241.0,159.27999877929688,237.13999938964844,155.10000610351562,239.72999572753906,158.7100067138672,3869000,7097600
2025-12-26,240.39999389648438,159.88999938964844,240.49000549316406,159.91000366210938,232.80999755859375,154.1199951171875,236.89999389648438,158.80999755859375,5925700,12298200
2025-12-29,234.36000061035156,157.9499969482422,239.88999938964844,162.92999267578125,232.77999877929688,155.32000732421875,233.77000427246094,155.38999938964844,6362600,14073500
2025-12-30,233.64999389648438,155.82000732421875,236.05999755859375,159.3800048828125,231.5,154.1300048828125,231.60000610351562,155.61000061035156,5652100,12740200
2025-12-31,231.22000122070312,156.24000549316406,232.38999938964844,156.8000030517578,225.47000122070312,151.4199981689453,226.13999938964844,151.9499969482422,6678200,15918100
2026-01-02,230.60000610351562,154.58999633789062,238.49000549316406,160.7899932861328,225.91000366210938,149.75,236.52999877929688,157.16000366210938,8760200,20185600
2026-01-05,247.11000061035156,163.4199981689453,258.8800048828125,167.6999969482422,246.52999877929688,160.9600067138672,254.9199981689453,164.72000122070312,13695300,22859000
2026-01-06,255.2100067138672,166.8800048828125,258.3500061035156,167.13999938964844,245.72000122070312,154.0500030517578,250.55999755859375,157.97000122070312,8672500,22627800
2026-01-07,248.27999877929688,163.4499969482422,248.94000244140625,170.16000366210938,240.25,158.4499969482422,245.92999267578125,161.8300018310547,7488900,28406900
2026-01-08,244.6199951171875,158.6300048828125,250.3800048828125,170.6199951171875,242.25,156.1699981689453,245.58999633789062,166.97000122070312,6897200,25159400
2026-01-09,246.07000732421875,166.75,246.89999389648438,167.1999969482422,237.14999389648438,155.4600067138672,240.77999877929688,157.3300018310547,8104500,27962600
2026-01-12,239.6300048828125,156.27000427246094,248.0,163.82000732421875,238.0399932861328,154.69000244140625,242.97999572753906,162.22999572753906,5957300,16182000
2026-01-13,245.5,164.4499969482422,255.50999450683594,173.75999450683594,244.64999389648438,159.92999267578125,252.69000244140625,172.99000549316406,9027000,27656200
2026-01-14,256.9200134277344,178.63999938964844,263.07000732421875,190.1999969482422,253.0,176.1199951171875,255.86000061035156,179.3300018310547,10804500,40257000
2026-01-15,250.58999633789062,179.1300048828125,251.1999969482422,179.25,237.42999267578125,170.08999633789062,239.27999877929688,170.91000366210938,12098900,21486500
2026-01-16,239.49000549316406,171.92999267578125,243.19000244140625,173.8800048828125,236.13999938964844,167.58999633789062,241.14999389648438,173.7100067138672,7622400,19462500
2026-01-20,232.63999938964844,165.1699981689453,234.89999389648438,165.72000122070312,225.9600067138672,158.85000610351562,227.72999572753906,160.22999572753906,9757900,25666700
2026-01-21,228.75999450683594,161.27000427246094,231.4499969482422,165.72000122070312,222.39999389648438,156.00999450683594,226.92999267578125,163.80999755859375,8476500,18440800
2026-01-22,228.52999877929688,163.72999572753906,230.75,164.63999938964844,223.02000427246094,159.44000244140625,223.13999938964844,160.97999572753906,7088800,11116000
2026-01-23,222.75,160.94000244140625,222.75,168.9600067138672,215.72000122070312,158.72000122070312,216.9499969482422,163.11000061035156,12975100,14879300
2026-01-26,212.17999267578125,159.41000366210938,215.63999938964844,163.9199981689453,210.88999938964844,158.6199951171875,213.47999572753906,160.5800018310547,7077500,14516500
2026-01-27,213.47999572753906,160.30999755859375,213.55999755859375,161.6699981689453,207.77000427246094,156.97999572753906,210.8300018310547,161.5800018310547,7465500,13962200
2026-01-28,213.27999877929688,164.4499969482422,214.38999938964844,165.72000122070312,206.8000030517578,157.0,209.42999267578125,158.4499969482422,9046600,14082600
2026-01-29,206.82000732421875,155.9499969482422,207.0,156.0,194.2100067138672,139.36000061035156,199.17999267578125,143.19000244140625,14604300,34618500
2026-01-30,198.6999969482422,140.0,198.9600067138672,151.14999389648438,190.9600067138672,139.89999389648438,194.74000549316406,149.7100067138672,9635400,22768000
2026-02-02,189.80999755859375,139.77000427246094,190.94000244140625,147.8800048828125,185.0800018310547,138.0,187.86000061035156,139.6300048828125,12288700,27171500
2026-02-03,188.67999267578125,140.13999938964844,188.67999267578125,140.22999572753906,174.0500030517578,126.73999786376953,179.66000366210938,133.25999450683594,12610300,26169000
2026-02-04,176.11000061035156,130.00999450683594,176.75,130.82000732421875,164.4199981689453,121.19000244140625,168.6199951171875,129.08999633789062,16627600,25775600
2026-02-05,160.42999267578125,120.25,165.0,122.0,145.16000366210938,104.16999816894531,146.1199951171875,106.98999786376953,29610500,60129700
2026-02-06,154.55999755859375,114.94999694824219,165.52000427246094,135.6699981689453,151.57000732421875,114.68000030517578,165.1199951171875,134.92999267578125,19776100,57771000
2026-02-09,160.10000610351562,127.37000274658203,167.57000732421875,139.5800018310547,159.00999450683594,125.12999725341797,167.25,138.44000244140625,10618500,34291600
2026-02-10,162.55999755859375,133.66000366210938,167.9199981689453,139.16000366210938,161.86000061035156,132.67999267578125,162.50999450683594,133.0,8835200,23002100
2026-02-11,157.6999969482422,133.69000244140625,158.10000610351562,133.91000366210938,148.85000610351562,123.91999816894531,153.1999969482422,126.06999969482422,13923800,25837800
2026-02-12,153.10000610351562,127.56999969482422,153.1999969482422,128.99000549316406,139.36000061035156,120.63999938964844,141.08999633789062,123.0,19986100,20960700
2026-02-13,153.6999969482422,127.0,167.64999389648438,135.25,146.16000366210938,125.76000213623047,164.32000732421875,133.8800048828125,32410100,24573900
2026-02-17,162.47999572753906,129.00999450683594,170.5399932861328,132.1199951171875,158.39999389648438,125.91000366210938,166.02000427246094,128.6699981689453,16770600,18881000
2026-02-18,165.39999389648438,127.62999725341797,173.8800048828125,132.25,163.14999389648438,123.62000274658203,164.0500030517578,125.19999694824219,13792200,17307700
2026-02-19,162.4199981689453,123.48999786376953,167.5800018310547,130.0399932861328,161.1199951171875,121.87000274658203,165.94000244140625,129.4499969482422,8001700,15457200
2026-02-20,164.8800048828125,130.50999450683594,175.5500030517578,136.13999938964844,164.1199951171875,129.41000366210938,171.35000610351562,131.0500030517578,13692200,17625400
2026-02-23,166.16000366210938,127.9000015258789,168.10000610351562,130.3800048828125,158.66000366210938,122.83000183105469,160.24000549316406,123.70999908447266,12685500,18858900
2026-02-24,155.83999633789062,121.70999908447266,162.27999877929688,126.73999786376953,152.6999969482422,118.4000015258789,162.02999877929688,124.61000061035156,10442900,15352700
2026-02-25,171.77999877929688,130.0500030517578,185.82000732421875,137.86000061035156,169.75,128.94000244140625,183.94000244140625,135.64999389648438,23793900,24152100
2026-02-26,181.44000244140625,133.6999969482422,186.38999938964844,135.75,176.75,128.63999938964844,181.05999755859375,133.39999389648438,12746600,18110800
2026-02-27,175.35000610351562,128.9499969482422,179.05999755859375,131.1199951171875,171.80999755859375,127.86000061035156,175.85000610351562,129.5,11427900,14027700
2026-03-02,172.5,129.13999938964844,186.35000610351562,140.13999938964844,172.22000122070312,128.94000244140625,185.24000549316406,137.64999389648438,12306800,25456100
2026-03-03,177.17999267578125,133.33999633789062,186.3000030517578,136.4600067138672,172.0500030517578,127.80000305175781,182.36000061035156,132.67999267578125,12828800,19405900
2026-03-04,195.91000366210938,143.8300018310547,212.07000732421875,149.5399932861328,195.39999389648438,142.19000244140625,208.92999267578125,146.44000244140625,27200300,37382600
2026-03-05,205.75,145.0399932861328,213.5,146.44000244140625,201.5,137.2100067138672,205.7100067138672,139.80999755859375,15036600,21286000
2026-03-06,197.75999450683594,134.89999389648438,202.74000549316406,136.36000061035156,194.66000366210938,131.77000427246094,197.22000122070312,133.52999877929688,11504900,19538800
2026-03-09,198.0,136.0,203.49000549316406,140.19000244140625,192.6300048828125,135.3000030517578,199.7899932861328,138.9499969482422,12064600,20433000
2026-03-10,204.42999267578125,141.92999267578125,206.00999450683594,142.4600067138672,194.75,133.94000244140625,196.52000427246094,138.4600067138672,10846100,18325000
2026-03-11,197.50999450683594,139.80999755859375,203.10000610351562,142.6699981689453,192.52000427246094,135.13999938964844,198.6300048828125,138.3300018310547,9531700,15637600
2026-03-12,196.1300048828125,137.16000366210938,198.0,138.8000030517578,192.4600067138672,133.3800048828125,193.22999572753906,137.33999633789062,7967100,15229400
2026-03-13,203.75999450683594,143.86000061035156,207.1300048828125,147.25999450683594,193.83999633789062,138.44000244140625,195.52999877929688,139.6699981689453,12137100,23685400
2026-03-16,201.80999755859375,145.35000610351562,206.44000244140625,148.24000549316406,198.6199951171875,143.30999755859375,203.32000732421875,147.52000427246094,13054000,22933200
2026-03-17,202.27000427246094,145.97000122070312,213.47000122070312,152.27000427246094,202.1300048828125,145.22999572753906,210.22999572753906,150.27999877929688,11948000,18448500
2026-03-18,206.77000427246094,144.99000549316406,209.0,146.75999450683594,201.13999938964844,140.35000610351562,202.2899932861328,140.55999755859375,12602200,21314100
2026-03-19,195.33999633789062,135.02000427246094,205.5,139.77999877929688,191.8699951171875,132.75999450683594,202.91000366210938,138.24000549316406,9273000,19227700
2026-03-20,202.60000610351562,139.61500549316406,203.3000030517578,139.68499755859375,194.8000030517578,134.13999938964844,197.5,135.66000366210938,11875764,28004943
