,Open,High,Close,Low,Close,Volume
0,2024-01-31 19:59:00,184.6621,184.6621,184.5428,184.5726,2358
1,2024-01-31 19:58:00,184.4931,184.6422,184.4931,184.5229,200
2,2024-01-31 19:57:00,184.4135,184.6422,184.4135,184.4533,4017
3,2024-01-31 19:56:00,184.4036,184.4235,184.3738,184.4235,582
4,2024-01-31 19:55:00,184.3837,184.4235,184.3788,184.3937,365
5,2024-01-31 19:54:00,184.4135,184.4235,184.3937,184.3937,1167
6,2024-01-31 19:53:00,184.4086,184.4235,184.3937,184.4235,1195
7,2024-01-31 19:52:00,184.4235,184.4235,184.2943,184.3937,375
8,2024-01-31 19:51:00,184.3937,184.4235,184.3937,184.4235,144
9,2024-01-31 19:50:00,184.3937,184.4235,184.3937,184.4086,149
10,2024-01-31 19:49:00,184.4235,184.4235,184.3937,184.3937,140
11,2024-01-31 19:48:00,184.3937,184.4235,184.3937,184.3937,384
12,2024-01-31 19:47:00,184.4334,184.4434,184.3937,184.4086,345
13,2024-01-31 19:46:00,184.4235,184.4434,184.3937,184.4334,1209
14,2024-01-31 19:45:00,184.4533,184.4533,184.4185,184.4434,1371
15,2024-01-31 19:44:00,184.4334,184.4632,184.4135,184.4533,150
16,2024-01-31 19:43:00,184.3937,184.4632,184.3937,184.4632,156
17,2024-01-31 19:42:00,184.4632,184.4632,184.2943,184.4036,98
18,2024-01-31 19:41:00,184.4036,184.4732,184.334,184.4235,176
19,2024-01-31 19:40:00,184.3837,184.4732,184.3837,184.4434,422
20,2024-01-31 19:39:00,184.344,184.4434,184.2644,184.344,369
21,2024-01-31 19:38:00,184.3738,184.4135,184.2446,184.2943,1581
22,2024-01-31 19:37:00,184.4334,184.4334,184.3539,184.3738,322
23,2024-01-31 19:36:00,184.3937,184.3937,184.334,184.3539,133
24,2024-01-31 19:35:00,184.4036,184.4632,184.2943,184.344,2590
25,2024-01-31 19:34:00,184.2843,184.4732,184.2247,184.4732,2754
26,2024-01-31 19:33:00,184.2147,184.3042,184.2147,184.2147,406
27,2024-01-31 19:32:00,184.2147,184.2943,184.2147,184.2943,22
28,2024-01-31 19:31:00,184.2147,184.2943,184.2147,184.2943,170
29,2024-01-31 19:30:00,184.2938,184.2943,184.1949,184.2446,380
30,2024-01-31 19:29:00,184.344,184.344,184.2048,184.2446,376
31,2024-01-31 19:28:00,184.334,184.344,184.1949,184.344,625
32,2024-01-31 19:27:00,184.344,184.344,184.2048,184.2147,30
33,2024-01-31 19:26:00,184.344,184.344,184.1551,184.2048,153
34,2024-01-31 19:25:00,184.1452,184.3042,184.1452,184.2048,1349
35,2024-01-31 19:24:00,184.334,184.344,184.1452,184.334,111
36,2024-01-31 19:23:00,184.1949,184.344,184.1551,184.1551,514
37,2024-01-31 19:22:00,184.2048,184.2744,184.2048,184.2744,467
38,2024-01-31 19:21:00,184.2098,184.2446,184.1452,184.1452,416
39,2024-01-31 19:20:00,184.2346,184.2644,184.1452,184.2098,39
40,2024-01-31 19:19:00,184.1452,184.2644,184.0259,184.1551,54
41,2024-01-31 19:18:00,184.1551,184.2644,184.1352,184.2644,429
42,2024-01-31 19:17:00,184.2446,184.2843,184.1054,184.1302,37
43,2024-01-31 19:16:00,184.2545,184.2943,184.0954,184.2446,2418
44,2024-01-31 19:15:00,184.2943,184.334,184.2048,184.2943,989
45,2024-01-31 19:14:00,184.2843,184.334,184.2843,184.334,984
46,2024-01-31 19:13:00,184.3141,184.3141,184.2843,184.2843,692
47,2024-01-31 19:12:00,184.3141,184.344,184.2943,184.334,298
48,2024-01-31 19:11:00,184.3141,184.344,184.2943,184.2943,240
49,2024-01-31 19:10:00,184.3042,184.344,184.2843,184.2943,243
50,2024-01-31 19:09:00,184.2992,184.3141,184.2843,184.2843,499
51,2024-01-31 19:08:00,184.2943,184.3141,184.2843,184.2992,216
52,2024-01-31 19:07:00,184.2843,184.3141,184.2843,184.2843,331
53,2024-01-31 19:06:00,184.3141,184.3141,184.2346,184.2843,956
54,2024-01-31 19:05:00,184.2644,184.3241,184.2644,184.3141,774
55,2024-01-31 19:04:00,184.3141,184.3141,184.2048,184.2943,46
56,2024-01-31 19:03:00,184.3241,184.3241,184.2048,184.2644,67
57,2024-01-31 19:02:00,184.3141,184.3141,184.2446,184.2595,309
58,2024-01-31 19:01:00,184.3042,184.3141,184.1452,184.2943,258
59,2024-01-31 19:00:00,184.2744,184.3241,184.1153,184.1849,2130
60,2024-01-31 18:59:00,184.2644,184.3042,184.0259,184.2744,1572
61,2024-01-31 18:58:00,184.2048,184.3241,184.2048,184.2644,1175
62,2024-01-31 18:57:00,184.2446,184.2644,184.2283,184.2644,272
63,2024-01-31 18:56:00,184.3241,184.334,184.2644,184.2644,1817
64,2024-01-31 18:55:00,184.3241,184.3241,184.2048,184.3241,348
65,2024-01-31 18:54:00,184.2744,184.3241,184.2048,184.2048,230
66,2024-01-31 18:53:00,184.2048,184.344,184.2048,184.2048,1901
67,2024-01-31 18:52:00,184.2346,184.2744,184.2048,184.2744,3116
68,2024-01-31 18:51:00,184.2744,184.2744,184.2346,184.2446,42
69,2024-01-31 18:50:00,184.2147,184.2744,184.2147,184.2545,144
70,2024-01-31 18:49:00,184.2048,184.2346,184.2048,184.2048,329
71,2024-01-31 18:48:00,184.2147,184.2744,184.2048,184.2744,170
72,2024-01-31 18:47:00,184.2048,184.2744,184.2048,184.2147,3298
73,2024-01-31 18:46:00,184.1839,184.2744,184.1402,184.2048,1077
74,2024-01-31 18:45:00,184.175,184.2048,184.0457,184.1949,534
75,2024-01-31 18:44:00,184.1551,184.2147,183.9364,184.1601,737
76,2024-01-31 18:43:00,184.175,184.1949,184.1452,184.1551,149
77,2024-01-31 18:42:00,184.1352,184.175,184.1203,184.175,7
78,2024-01-31 18:41:00,184.1899,184.1949,184.0457,184.1203,130
79,2024-01-31 18:40:00,184.1949,184.2147,184.1949,184.1949,443
80,2024-01-31 18:39:00,184.2147,184.2147,184.1949,184.1998,384
