Price,Close,High,Low,Open,Volume,Year,Month,Day,Change%,5MA,30MA,Price Movement,PastClose1,PastClose2,PastClose3,RSI14,12EMA,26EMA,MACD,SignalLine
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
1981-02-12,-0.4719376809695363,-0.472146330958103,-0.4718108693727468,-0.4720473718842411,-0.9010987813229884,1981,2,12,-0.47701314545435525,-0.47190970659876647,-0.4718243150951569,0,-0.4719044651157345,-0.4718322279791751,-0.47182835680587665,-1.9324389910626185,-0.47197209862729755,-0.4719557107654377,-0.1554185488473513,-0.1624225074034147
1981-02-13,-0.4719808612257215,-0.47218056806424086,-0.4718545145193881,-0.4720819682239329,-0.9112601826238937,1981,2,13,-0.970814762513116,-0.4719547086127594,-0.47184534383147186,1,-0.4719217686602884,-0.4718927937077705,-0.47182835680587665,-1.9451080257723965,-0.47200005005371887,-0.4719774553788357,-0.1557256676332275,-0.16268133927026548
1981-02-17,-0.4719376809695363,-0.472146330958103,-0.4718108693727468,-0.47205603254952827,-0.9079176164064906,1981,2,17,0.0,-0.4719702882608836,-0.47186316005365025,1,-0.4719649891093648,-0.471910113649797,-0.47188898178925137,-1.6679903411348886,-0.4720170200748907,-0.471994350458327,-0.15573482511958206,-0.16289035490699752
1981-02-18,-0.47185994139762194,-0.472060777180566,-0.4717322928353246,-0.47197821071165713,-0.8871268545342434,1981,2,18,0.0,-0.4719702882608836,-0.4718748423154293,0,-0.4719217686602884,-0.47195337505615403,-0.47190631867632865,-1.124834267188729,-0.4720193508510766,-0.47200416303778825,-0.15537642113948144,-0.16298124307627337
1981-02-19,-0.4719722254443199,-0.47218056822373533,-0.47184578576280034,-0.47208196838510086,-0.877968223098559,1981,2,19,-0.48541062190747586,-0.4719806758045537,-0.4718871091969895,0,-0.47184395672710444,-0.471910113649797,-0.47194962240769595,-1.2049625388688758,-0.47203869650919983,-0.4720216708498541,-0.1554709860371535,-0.16307409179043397
1981-02-20,-0.4720672202390065,-0.4722746761094863,-0.47194180329744573,-0.47217706369981594,-0.8718179012585373,1981,2,20,-0.5127909834126619,-0.4720066365371242,-0.4719011282801808,1,-0.47195634528963604,-0.4718322279791751,-0.47190631867632865,-1.1657327610375454,-0.4720697642472862,-0.47204500706223773,-0.15585232039255661,-0.1632295782668498
1981-02-23,-0.47204131379425274,-0.4722490115435571,-0.4719156179368174,-0.4721597750410883,-0.9024358078099496,1981,2,23,0.0,-0.4720187517279173,-0.4719180679123411,0,-0.47205142850703674,-0.4719447230452251,-0.47182835680587665,-0.7380395525960642,-0.4720920438863024,-0.47206467150139847,-0.15598516379574687,-0.16338225727077846
1981-02-24,-0.4721017653134242,-0.4723003433519828,-0.4719767202935893,-0.4722030002563924,-0.8938788382933976,1981,2,24,-1.0415987216012845,-0.47205163557686985,-0.4719364677201316,1,-0.47202549794813903,-0.4720398963669653,-0.47194096193202945,-1.2600637859376391,-0.47212024941877484,-0.47208741360299333,-0.15625667941220245,-0.1635622214006021
1981-02-25,-0.4719981326386163,-0.4722062336503926,-0.47187197188104113,-0.47211654819007437,-0.8863914899664148,1981,2,25,0.0,-0.4720793302355297,-0.4719487345864834,1,-0.4720860057365767,-0.4720139412353202,-0.4720362283670585,-1.0799353929472257,-0.47212808078336105,-0.47210069792764453,-0.15599747319199778,-0.16365099313970194
1981-02-26,-0.4719722254443199,-0.47218056822373533,-0.47184578576280034,-0.4720906135801379,-0.9121961011647666,1981,2,26,0.0,-0.4720793302355297,-0.4719604173957637,1,-0.4719822765987742,-0.4720745063631545,-0.4720102478420823,-0.9553554805002427,-0.47213069875959446,-0.47211105500712836,-0.15562681149638594,-0.16364307583468293
1981-02-27,-0.47191175833466004,-0.47211211034605555,-0.4717846676476886,-0.47203008248267225,-0.9004971194038558,1981,2,27,0.0,-0.47204817439421504,-0.47197151561567974,1,-0.47195634528963604,-0.4719706789278216,-0.47207087222410815,-0.7294856935295949,-0.47212355802774353,-0.4721161094385864,-0.15503903722949758,-0.16351157183200718
1981-03-02,-0.47190312180371563,-0.47211210987165625,-0.4717759381334884,-0.4720214368123351,-0.909455196866496,1981,3,2,0.0,-0.47202047958534066,-0.47198173764606466,0,-0.47189582189619805,-0.4719447230452251,-0.4719669432086917,-0.3624624970145142,-0.4721161795586395,-0.4721201416673722,-0.15448884371748212,-0.16328920152495474
1981-03-03,-0.4719290297475548,-0.4721377758155156,-0.47180212500934166,-0.47203872697664084,-0.8962854859699279,1981,3,3,-0.47390464995922005,-0.4719858619605132,-0.471997216458774,0,-0.4718871773262289,-0.47188414229760267,-0.47194096193202945,-0.4539787541610018,-0.47211394491763536,-0.4721258184898843,-0.15410831792425653,-0.16303026996253273
1981-03-04,-0.4719463166010295,-0.4721549013845379,-0.4718195979778121,-0.47205603223605513,-0.9036391316482146,1981,3,4,-0.4784370498462329,-0.47197547760139064,-0.47201094357172824,0,-0.47191310938560743,-0.4718754895357224,-0.47188032191493373,-0.2978327756842626,-0.47211472882426475,-0.4721323714421748,-0.15383162890803365,-0.16276420207849682
1981-03-05,-0.47195495283215677,-0.4721634568715097,-0.47182832718896733,-0.47206467749165326,-0.9285078243056936,1981,3,5,-0.48074349310659487,-0.4719720160281782,-0.4720264229572861,0,-0.471930412329969,-0.4719014461692702,-0.4718716606875812,-0.26424815420328973,-0.4721167283948683,-0.47213908676844557,-0.15360590187801298,-0.16250327780673693
1981-03-06,-0.4719722254443199,-0.47217201291092975,-0.47184578576280034,-0.47207332330549634,-0.9099231561369324,1981,3,6,-0.9661251510265886,-0.47198413413313284,-0.47204336251847406,0,-0.47193905659984203,-0.4719187655105357,-0.4718976427159295,-0.1585787894026042,-0.4721210928924082,-0.47214660023009236,-0.15345616425912145,-0.1622626508390058
1981-03-09,-0.47211040079500877,-0.4723174536347193,-0.47198544874713205,-0.4722202900691292,-0.8988258362951542,1981,3,9,-0.5262775844594493,-0.47202567454387034,-0.47206468269273316,0,-0.47195634528963604,-0.4719274179720354,-0.4719149790016579,-0.8285166320350384,-0.4721461654960372,-0.47216392125860185,-0.1538364969154336,-0.1621511434519029
1981-03-10,-0.47218813991719755,-0.4723944669562859,-0.4720640248299868,-0.47229811145458683,-0.8598515142002343,1981,3,10,-0.5524497535393957,-0.47207760234806356,-0.47208746364081816,0,-0.4720946492562093,-0.4719447230452251,-0.471923639928336,-1.3990817236256732,-0.47217940917894385,-0.47218579022689017,-0.15439343723230448,-0.1621805414208767
1981-03-11,-0.4722485921859117,-0.47244579939265374,-0.4721251279443711,-0.47234998249761934,-0.8554393267932623,1981,3,11,-1.1427870830353408,-0.472138180855676,-0.4721117048152279,1,-0.472172460739249,-0.4720831580737029,-0.47194096193202945,-1.2813331501101495,-0.4722168920952987,-0.4722105736153796,-0.15501536475105515,-0.16233650310053976
1981-03-12,-0.47218813991719755,-0.4723944669562859,-0.4720640248299868,-0.4723067565391037,-0.7677303892486055,1981,3,12,0.0,-0.4721849134609962,-0.4721315653005246,0,-0.4722329692779271,-0.47216104329375397,-0.4720795323991002,-0.6938979342616488,-0.4722392547629343,-0.47222898685353626,-0.1552122856997956,-0.1625032079759632
1981-03-13,-0.4722054125293607,-0.47241157830893654,-0.4720814834038198,-0.4723154023484638,-0.25424536693114436,1981,3,13,-0.5586220065429915,-0.47223164606631657,-0.47214938150749464,1,-0.472172460739249,-0.47222160917253964,-0.47215749381854055,-0.8807352997220452,-0.4722608495733477,-0.4722473317150773,-0.15537537616885902,-0.1626713029985009
1981-03-16,-0.4721449449699752,-0.47234311986583116,-0.47202036483414056,-0.4722635158819093,-0.83344524108275,1981,3,16,0.0,-0.47223856900244116,-0.4721613558155526,1,-0.472189749429043,-0.47216104329375397,-0.47221811895225246,-0.3752004422099653,-0.4722697660931408,-0.47225978220730025,-0.15520864741331544,-0.16277027309876588
1981-03-17,-0.4720672202390065,-0.4722661207909053,-0.47194180329744573,-0.47218570890068895,-0.813991505697464,1981,3,17,0.0,-0.4722143357066934,-0.4721669051308235,1,-0.4721292255854608,-0.47217834836694367,-0.47215749381854055,-0.4949122231530634,-0.472265284664467,-0.4722654805413545,-0.15471849469833682,-0.16274506813244682
1981-03-18,-0.4719635889133755,-0.47216345700895906,-0.47183705624860006,-0.4720819679098007,-0.8343143082992748,1981,3,18,0.0,-0.4721572187122076,-0.47217128632181254,0,-0.47205142850703674,-0.4721177671687504,-0.472174815822234,-0.16112425562832847,-0.4722454580399154,-0.4722629837009622,-0.15388007418768312,-0.16254635733579834
1981-03-19,-0.4719808612257215,-0.4721891234920545,-0.4718545145193881,-0.4720906134197522,-0.8317071066497004,1981,3,19,-0.4877718369126688,-0.4721156783615559,-0.47217858792996487,1,-0.4719477007196669,-0.4720398963669653,-0.47211417535412664,-0.47997124818188713,-0.47223135417208784,-0.4722619673561733,-0.1532471804306475,-0.16225261006585445
1981-03-20,-0.4719635889133755,-0.47216345700895906,-0.47183705624860006,-0.4720819679098007,-0.9009650786742922,1981,3,20,0.0,-0.47206721492456505,-0.4721853054404901,1,-0.4719649891093648,-0.47193607028334483,-0.4720362283670585,-0.44123703068500125,-0.47221674762328686,-0.4722597307517204,-0.15264856969520163,-0.16189013439836236
1981-03-23,-0.4718944857224969,-0.4720949989910446,-0.4717672090738556,-0.4720127915921995,-0.8788372903150838,1981,3,23,0.0,-0.472017020836161,-0.47218997814546515,0,-0.4719477007196669,-0.47195337505615403,-0.47193230070467695,-0.062019852126399655,-0.47219369605153094,-0.47225247659810893,-0.15188265457459701,-0.16143704751118632
